date,ticker,open,high,low,close,volume
1980-07-09,KOSPI,111.92,111.92,111.92,111.92,0
1980-07-10,KOSPI,111.36,111.36,111.36,111.36,0
1980-07-11,KOSPI,110.89,110.89,110.89,110.89,0
1980-07-12,KOSPI,111.01,111.01,111.01,111.01,0
1980-07-14,KOSPI,110.4,110.4,110.4,110.4,0
1980-07-15,KOSPI,109.94,109.94,109.94,109.94,0
1980-07-16,KOSPI,109.82,109.82,109.82,109.82,0
1980-07-18,KOSPI,110.02,110.02,110.02,110.02,0
1980-07-19,KOSPI,110.88,110.88,110.88,110.88,0
1980-07-21,KOSPI,110.22,110.22,110.22,110.22,0
1980-07-22,KOSPI,109.91,109.91,109.91,109.91,0
1980-07-23,KOSPI,110.42,110.42,110.42,110.42,0
1980-07-24,KOSPI,111.29,111.29,111.29,111.29,0
1980-07-25,KOSPI,110.96,110.96,110.96,110.96,0
1980-07-26,KOSPI,111.32,111.32,111.32,111.32,0
1980-07-28,KOSPI,111.27,111.27,111.27,111.27,0
1980-07-29,KOSPI,111.49,111.49,111.49,111.49,0
1980-07-30,KOSPI,112.75,112.75,112.75,112.75,0
1980-07-31,KOSPI,112.71,112.71,112.71,112.71,0
1980-08-01,KOSPI,112.28,112.28,112.28,112.28,0
1980-08-02,KOSPI,112.15,112.15,112.15,112.15,0
1980-08-04,KOSPI,111.5,111.5,111.5,111.5,0
1980-08-05,KOSPI,111.38,111.38,111.38,111.38,0
1980-08-06,KOSPI,111.81,111.81,111.81,111.81,0
1980-08-07,KOSPI,111.84,111.84,111.84,111.84,0
1980-08-08,KOSPI,111.47,111.47,111.47,111.47,0
1980-08-09,KOSPI,111.66,111.66,111.66,111.66,0
1980-08-11,KOSPI,110.98,110.98,110.98,110.98,0
1980-08-12,KOSPI,109.12,109.12,109.12,109.12,0
1980-08-13,KOSPI,108.65,108.65,108.65,108.65,0
1980-08-14,KOSPI,106.99,106.99,106.99,106.99,0
1980-08-16,KOSPI,107.2,107.2,107.2,107.2,0
1980-08-18,KOSPI,109.22,109.22,109.22,109.22,0
1980-08-19,KOSPI,110.61,110.61,110.61,110.61,0
1980-08-20,KOSPI,110.13,110.13,110.13,110.13,0
1980-08-21,KOSPI,111.11,111.11,111.11,111.11,0
1980-08-22,KOSPI,112.68,112.68,112.68,112.68,0
1980-08-23,KOSPI,111.9,111.9,111.9,111.9,0
1980-08-25,KOSPI,112.52,112.52,112.52,112.52,0
1980-08-26,KOSPI,113.81,113.81,113.81,113.81,0
1980-08-27,KOSPI,112.74,112.74,112.74,112.74,0
1980-08-28,KOSPI,112.21,112.21,112.21,112.21,0
1980-08-29,KOSPI,112.02,112.02,112.02,112.02,0
1980-08-30,KOSPI,112.65,112.65,112.65,112.65,0
1980-09-02,KOSPI,112.55,112.55,112.55,112.55,0
1980-09-03,KOSPI,113.27,113.27,113.27,113.27,0
1980-09-04,KOSPI,112.5,112.5,112.5,112.5,0
1980-09-05,KOSPI,113.27,113.27,113.27,113.27,0
1980-09-06,KOSPI,113.72,113.72,113.72,113.72,0
1980-09-08,KOSPI,113.07,113.07,113.07,113.07,0
1980-09-09,KOSPI,112.49,112.49,112.49,112.49,0
1980-09-10,KOSPI,112.48,112.48,112.48,112.48,0
1980-09-11,KOSPI,111.5,111.5,111.5,111.5,0
1980-09-12,KOSPI,111.29,111.29,111.29,111.29,0
1980-09-13,KOSPI,112.12,112.12,112.12,112.12,0
1980-09-15,KOSPI,111.33,111.33,111.33,111.33,0
1980-09-16,KOSPI,110.79,110.79,110.79,110.79,0
1980-09-17,KOSPI,110.25,110.25,110.25,110.25,0
1980-09-18,KOSPI,110.55,110.55,110.55,110.55,0
1980-09-19,KOSPI,111.09,111.09,111.09,111.09,0
1980-09-20,KOSPI,110.64,110.64,110.64,110.64,0
1980-09-22,KOSPI,111.31,111.31,111.31,111.31,0
1980-09-24,KOSPI,110.38,110.38,110.38,110.38,0
1980-09-25,KOSPI,109.52,109.52,109.52,109.52,0
1980-09-26,KOSPI,110.62,110.62,110.62,110.62,0
1980-09-27,KOSPI,111.47,111.47,111.47,111.47,0
1980-09-29,KOSPI,110.86,110.86,110.86,110.86,0
1980-09-30,KOSPI,110.35,110.35,110.35,110.35,0
1980-10-02,KOSPI,109.85,109.85,109.85,109.85,0
1980-10-04,KOSPI,108.95,108.95,108.95,108.95,0
1980-10-06,KOSPI,108.77,108.77,108.77,108.77,0
1980-10-07,KOSPI,108.6,108.6,108.6,108.6,0
1980-10-08,KOSPI,107.96,107.96,107.96,107.96,0
1980-10-10,KOSPI,107.07,107.07,107.07,107.07,0
1980-10-11,KOSPI,109.34,109.34,109.34,109.34,0
1980-10-13,KOSPI,110.46,110.46,110.46,110.46,0
